data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR
20170102;0,1175;4,2106;3,0187;0,5428;3,1402;2,9146;2,9039;4,4157;1,427;4,1209;5,1925;0,1554;3,5858;0,1634;0,5938;3,7076;0,4876;0,4626;0,5847;0,9726;2,2577;1,1904;1,0936;0,6289;0,0847;0,2036;0,3062;1,2938;0,9387;0,0687;3,1255;6,1827;0,3487;0,6063;5,6315
20170103;0,1178;4,2271;3,0477;0,5453;3,1494;2,9309;2,9163;4,4002;1,4226;4,1137;5,1975;0,1561;3,5802;0,1629;0,592;3,6961;0,488;0,4611;0,5818;0,9714;2,2498;1,1768;1,0977;0,6309;0,085;0,2041;0,3072;1,2875;0,9416;0,0695;3,1382;6,1887;0,3504;0,6082;5,6117
20170104;0,1174;4,2037;3,0539;0,542;3,1429;2,9167;2,9079;4,3877;1,4207;4,0978;5,1596;0,1571;3,5712;0,1624;0,5902;3,6965;0,4871;0,4605;0,58;0,9708;2,2434;1,1743;1,0911;0,6239;0,0847;0,199;0,3082;1,2873;0,9346;0,0691;3,1275;6,166;0,3498;0,6065;5,6472
20170105;0,1164;4,1667;3,0375;0,5373;3,1329;2,9052;2,9056;4,3766;1,4175;4,0876;5,1266;0,1586;3,5724;0,1619;0,5887;3,684;0,4858;0,4595;0,5776;0,9707;2,2378;1,1505;1,0812;0,6206;0,0841;0,1945;0,3044;1,2954;0,9289;0,0691;3,1149;6,1327;0,3506;0,6051;5,6194
20170109;0,1164;4,1592;3,0423;0,5364;3,14;2,8973;2,8864;4,3783;1,421;4,0863;5,0534;0,1542;3,5537;0,1621;0,5889;3,6562;0,4861;0,4579;0,578;0,9721;2,2386;1,1178;1,0786;0,6234;0,0839;0,1952;0,302;1,2902;0,9292;0,0694;3,1125;6,0979;0,345;0,5999;5,5806
20170110;0,1159;4,127;3,0328;0,5322;3,1199;2,8886;2,8747;4,3735;1,4167;4,0737;5,0132;0,152;3,558;0,1619;0,5883;3,6145;0,4812;0,4574;0,5782;0,9724;2,2362;1,0926;1,0737;0,6151;0,0833;0,1923;0,3018;1,291;0,9224;0,0688;3,0997;6,0524;0,3446;0,5961;5,5895
20170111;0,1166;4,1465;3,0594;0,5347;3,1332;2,9062;2,8837;4,3684;1,4124;4,0706;5,0266;0,1523;3,5694;0,1616;0,5876;3,5851;0,4816;0,4566;0,5775;0,9718;2,2335;1,0771;1,0755;0,6189;0,0835;0,1906;0,3028;1,2976;0,9273;0,0689;3,1108;6,0613;0,346;0,5978;5,5643
20170112;0,1162;4,1103;3,0844;0,5299;3,1502;2,9275;2,8836;4,3728;1,4212;4,0791;5,0413;0,1507;3,6039;0,1619;0,5882;3,602;0,483;0,4597;0,5798;0,9736;2,2358;1,0729;1,0739;0,6129;0,083;0,1896;0,304;1,2852;0,9218;0,0692;3,0921;6,0385;0,3492;0,5959;5,5921
20170113;0,116;4,1084;3,0782;0,5298;3,1238;2,925;2,8784;4,373;1,4231;4,0753;5,0152;0,1485;3,5835;0,1618;0,5882;3,5962;0,4834;0,4605;0,5802;0,9728;2,2359;1,0751;1,0758;0,6209;0,0825;0,1883;0,3038;1,2886;0,9207;0,0691;3,0816;6,0213;0,3496;0,5956;5,5394
20170116;0,1167;4,1354;3,0888;0,5332;3,146;2,9327;2,8914;4,3792;1,4252;4,0837;4,9883;0,1491;3,6196;0,1621;0,589;3,6132;0,4848;0,4614;0,5811;0,9725;2,239;1,0978;1,0807;0,6263;0,0827;0,191;0,303;1,2837;0,9259;0,0694;3,0937;6,0687;0,3496;0,5993;5,5505
20170117;0,1161;4,0989;3,0896;0,5286;3,1423;2,9412;2,8891;4,3771;1,4223;4,0843;4,9879;0,1484;3,626;0,162;0,5885;3,6174;0,4839;0,4602;0,5811;0,9717;2,238;1,0808;1,0735;0,6188;0,0824;0,1902;0,3041;1,2643;0,9184;0,0692;3,0698;6,032;0,3513;0,5977;5,5478
20170118;0,1157;4,087;3,0866;0,5268;3,1271;2,9423;2,8763;4,3705;1,4192;4,0798;5,0354;0,1489;3,6089;0,1617;0,5877;3,6345;0,4833;0,4591;0,58;0,9719;2,2346;1,0801;1,0726;0,6227;0,082;0,189;0,301;1,2723;0,9194;0,069;3,0625;6,0076;0,35;0,5977;5,55
20170119;0,116;4,1014;3,1011;0,5289;3,0891;2,9465;2,8768;4,3741;1,4199;4,0797;5,0503;0,1495;3,582;0,1618;0,5882;3,6315;0,4846;0,4589;0,5818;0,9734;2,2364;1,0816;1,0761;0,62;0,082;0,1868;0,3027;1,2697;0,9222;0,0683;3,068;6,02;0,3489;0,5975;5,5608
20170120;0,1158;4,1005;3,0859;0,5286;3,0746;2,9311;2,8704;4,3658;1,4154;4,0705;5,0405;0,1496;3,5632;0,1615;0,5872;3,6141;0,4853;0,4593;0,5811;0,9709;2,2322;1,07;1,076;0,62;0,082;0,1868;0,3023;1,2829;0,9222;0,0687;3,0579;6,0102;0,3486;0,596;5,5387
20170123;0,1155;4,076;3,0782;0,5254;3,0683;2,9276;2,8698;4,3725;1,4119;4,0781;5,0757;0,1493;3,5874;0,1618;0,588;3,6121;0,4853;0,4605;0,5816;0,972;2,2356;1,0815;1,073;0,6202;0,0817;0,1905;0,3019;1,2864;0,9186;0,0686;3,0513;5,984;0,3489;0,5945;5,5472
20170124;0,1155;4,0708;3,0801;0,5248;3,0699;2,9432;2,8688;4,372;1,4097;4,0744;5,0793;0,1494;3,5942;0,1617;0,5879;3,5473;0,4875;0,4611;0,5827;0,9716;2,2353;1,0878;1,0734;0,6227;0,0817;0,1903;0,3028;1,2868;0,9178;0,0688;3,0535;5,9743;0,3486;0,5935;5,5412
20170125;0,1152;4,0585;3,0621;0,5232;3,0923;2,9423;2,861;4,3636;1,4066;4,0654;5,1096;0,1491;3,5748;0,1614;0,5868;3,5333;0,488;0,4596;0,5821;0,971;2,2311;1,064;1,0721;0,6225;0,0816;0,1884;0,3058;1,2804;0,9145;0,0683;3,0382;5,9584;0,3481;0,5899;5,5187
20170126;0,1151;4,059;3,0608;0,5232;3,0975;2,9456;2,8577;4,352;1,4008;4,0644;5,1278;0,1492;3,556;0,161;0,5852;3,4984;0,4873;0,4603;0,5812;0,9675;2,2252;1,0517;1,0719;0,6256;0,0815;0,1927;0,3054;1,2803;0,9164;0,0678;3,0435;5,9608;0,3485;0,59;5,5101
20170127;0,1151;4,0595;3,0571;0,5232;3,0979;2,9464;2,8457;4,3413;1,3924;4,0609;5,0945;0,1493;3,5309;0,1607;0,5838;3,4884;0,4868;0,4595;0,5802;0,963;2,2196;1,0478;1,0694;0,6234;0,0816;0,1914;0,3039;1,2776;0,9162;0,0676;3,0394;5,9641;0,346;0,5891;5,5125
20170130;0,1147;4,0472;3,0559;0,5217;3,0786;2,9365;2,8386;4,3291;1,3903;4,0529;5,0701;0,1493;3,5295;0,1602;0,582;3,4786;0,4863;0,4581;0,5792;0,9615;2,2135;1,0559;1,0699;0,6245;0,0814;0,1942;0,2975;1,2889;0,9135;0,0675;3,0336;5,9576;0,3439;0,587;5,4939
20170131;0,1148;4,0446;3,0549;0,5213;3,0832;2,9448;2,8506;4,3308;1,3926;4,0625;5,0209;0,1492;3,5514;0,1603;0,5822;3,4828;0,4864;0,4583;0,5788;0,9615;2,2143;1,0651;1,0731;0,6238;0,0812;0,1943;0,298;1,2932;0,9129;0,0674;3,0287;5,962;0,3472;0,5872;5,518
20170201;0,1141;4,0071;3,04;0,5165;3,0642;2,9158;2,8388;4,3221;1,3915;4,0465;5,051;0,1484;3,5357;0,16;0,5812;3,4758;0,4861;0,4589;0,579;0,9554;2,2099;1,0596;1,0637;0,6179;0,0806;0,1931;0,2971;1,2716;0,9047;0,0665;2,9968;5,9304;0,347;0,5837;5,4607
20170202;0,1136;3,9835;3,0565;0,5134;3,067;2,9116;2,8274;4,3084;1,3962;4,0307;5,0574;0,1476;3,5424;0,1594;0,5793;3,5286;0,4862;0,4576;0,5783;0,9511;2,2028;1,0663;1,0584;0,6165;0,0802;0,1941;0,2979;1,273;0,9005;0,0668;2,9835;5,91;0,3488;0,5826;5,4424
